# equipment.txt -- gear, weapons, armour, magic items and prices
#
# One record per line: a tag, then '|' separated fields. A '#' at the
# start of a line is a comment, and blank lines are ignored. The comment
# above each block names the columns.
#
# A field that needs a literal '|' or '\' writes it as '\|' or '\\'.
# A line ending in '\' continues on the next line.
#
# tools/build_data.py turns this file into C. Run `make data` after an
# edit; it checks every cross-reference and refuses to write on an error.

# ITEM | name | book | category | cost_cp | weight_tenths | base_ac | dex_cap | str_req | stealth_disadvantage | damage | damage_type | properties | contents
ITEM|Arrows (20)|PHB|gear|100|10|0|0|0|0||||
ITEM|Blowgun needles (50)|PHB|gear|100|10|0|0|0|0||||
ITEM|Crossbow bolts (20)|PHB|gear|100|15|0|0|0|0||||
ITEM|Sling bullets (20)|PHB|gear|4|15|0|0|0|0||||
ITEM|Antitoxin (vial)|PHB|gear|5000|0|0|0|0|0||||
ITEM|Backpack|PHB|gear|200|50|0|0|0|0||||
ITEM|Ball bearings (bag of 1,000)|PHB|gear|100|20|0|0|0|0||||
ITEM|Barrel|PHB|gear|200|700|0|0|0|0||||
ITEM|Basket|PHB|gear|40|20|0|0|0|0||||
ITEM|Bedroll|PHB|gear|100|70|0|0|0|0||||
ITEM|Bell|PHB|gear|100|0|0|0|0|0||||
ITEM|Blanket|PHB|gear|50|30|0|0|0|0||||
ITEM|Block and tackle|PHB|gear|100|50|0|0|0|0||||
ITEM|Book|PHB|gear|2500|50|0|0|0|0||||
ITEM|Bottle, glass|PHB|gear|200|20|0|0|0|0||||
ITEM|Bucket|PHB|gear|5|20|0|0|0|0||||
ITEM|Caltrops (bag of 20)|PHB|gear|100|20|0|0|0|0||||
ITEM|Candle|PHB|gear|1|0|0|0|0|0||||
ITEM|Case, crossbow bolt|PHB|gear|100|10|0|0|0|0||||
ITEM|Case, map or scroll|PHB|gear|100|10|0|0|0|0||||
ITEM|Chain (10 feet)|PHB|gear|500|100|0|0|0|0||||
ITEM|Chalk (1 piece)|PHB|gear|1|0|0|0|0|0||||
ITEM|Chest|PHB|gear|500|250|0|0|0|0||||
ITEM|Climber's kit|PHB|gear|2500|120|0|0|0|0||||
ITEM|Clothes, common|PHB|gear|50|30|0|0|0|0||||
ITEM|Clothes, costume|PHB|gear|500|40|0|0|0|0||||
ITEM|Clothes, fine|PHB|gear|1500|60|0|0|0|0||||
ITEM|Clothes, traveler's|PHB|gear|200|40|0|0|0|0||||
ITEM|Component pouch|PHB|gear|2500|20|0|0|0|0||||
ITEM|Crowbar|PHB|gear|200|50|0|0|0|0||||
ITEM|Crystal (arcane focus)|PHB|gear|1000|10|0|0|0|0||||
ITEM|Orb (arcane focus)|PHB|gear|2000|30|0|0|0|0||||
ITEM|Rod (arcane focus)|PHB|gear|1000|20|0|0|0|0||||
ITEM|Staff (arcane focus)|PHB|gear|500|40|0|0|0|0||||
ITEM|Wand (arcane focus)|PHB|gear|1000|10|0|0|0|0||||
ITEM|Sprig of mistletoe (druidic focus)|PHB|gear|100|0|0|0|0|0||||
ITEM|Wooden staff (druidic focus)|PHB|gear|500|40|0|0|0|0||||
ITEM|Yew wand (druidic focus)|PHB|gear|1000|10|0|0|0|0||||
ITEM|Amulet (holy symbol)|PHB|gear|500|10|0|0|0|0||||
ITEM|Emblem (holy symbol)|PHB|gear|500|0|0|0|0|0||||
ITEM|Reliquary (holy symbol)|PHB|gear|500|20|0|0|0|0||||
ITEM|Fishing tackle|PHB|gear|100|40|0|0|0|0||||
ITEM|Flask or tankard|PHB|gear|2|10|0|0|0|0||||
ITEM|Grappling hook|PHB|gear|200|40|0|0|0|0||||
ITEM|Hammer|PHB|gear|100|30|0|0|0|0||||
ITEM|Hammer, sledge|PHB|gear|200|100|0|0|0|0||||
ITEM|Healer's kit|PHB|gear|500|30|0|0|0|0||||
ITEM|Holy water (flask)|PHB|gear|2500|10|0|0|0|0||||
ITEM|Hourglass|PHB|gear|2500|10|0|0|0|0||||
ITEM|Hunting trap|PHB|gear|500|250|0|0|0|0||||
ITEM|Ink (1 ounce bottle)|PHB|gear|1000|0|0|0|0|0||||
ITEM|Ink pen|PHB|gear|2|0|0|0|0|0||||
ITEM|Jug or pitcher|PHB|gear|2|40|0|0|0|0||||
ITEM|Ladder (10-foot)|PHB|gear|10|250|0|0|0|0||||
ITEM|Lamp|PHB|gear|50|10|0|0|0|0||||
ITEM|Lantern, bullseye|PHB|gear|1000|20|0|0|0|0||||
ITEM|Lantern, hooded|PHB|gear|500|20|0|0|0|0||||
ITEM|Lock|PHB|gear|1000|10|0|0|0|0||||
ITEM|Magnifying glass|PHB|gear|10000|0|0|0|0|0||||
ITEM|Manacles|PHB|gear|200|60|0|0|0|0||||
ITEM|Mess kit|PHB|gear|20|10|0|0|0|0||||
ITEM|Mirror, steel|PHB|gear|500|5|0|0|0|0||||
ITEM|Oil (flask)|PHB|gear|10|10|0|0|0|0||||
ITEM|Paper (one sheet)|PHB|gear|20|0|0|0|0|0||||
ITEM|Parchment (one sheet)|PHB|gear|10|0|0|0|0|0||||
ITEM|Perfume (vial)|PHB|gear|500|0|0|0|0|0||||
ITEM|Pick, miner's|PHB|gear|200|100|0|0|0|0||||
ITEM|Piton|PHB|gear|5|2|0|0|0|0||||
ITEM|Poison, basic (vial)|PHB|gear|10000|0|0|0|0|0||||
ITEM|Pole (10-foot)|PHB|gear|5|70|0|0|0|0||||
ITEM|Pot, iron|PHB|gear|200|100|0|0|0|0||||
ITEM|Potion of healing|PHB|gear|5000|5|0|0|0|0||||
ITEM|Pouch|PHB|gear|50|10|0|0|0|0||||
ITEM|Quiver|PHB|gear|100|10|0|0|0|0||||
ITEM|Ram, portable|PHB|gear|400|350|0|0|0|0||||
ITEM|Rations (1 day)|PHB|gear|50|20|0|0|0|0||||
ITEM|Robes|PHB|gear|100|40|0|0|0|0||||
ITEM|Rope, hempen (50 feet)|PHB|gear|100|100|0|0|0|0||||
ITEM|Rope, silk (50 feet)|PHB|gear|1000|50|0|0|0|0||||
ITEM|Sack|PHB|gear|1|5|0|0|0|0||||
ITEM|Scale, merchant's|PHB|gear|500|30|0|0|0|0||||
ITEM|Sealing wax|PHB|gear|50|0|0|0|0|0||||
ITEM|Shovel|PHB|gear|200|50|0|0|0|0||||
ITEM|Signal whistle|PHB|gear|5|0|0|0|0|0||||
ITEM|Signet ring|PHB|gear|500|0|0|0|0|0||||
ITEM|Soap|PHB|gear|2|0|0|0|0|0||||
ITEM|Spellbook|PHB|gear|5000|30|0|0|0|0||||
ITEM|Spikes, iron (10)|PHB|gear|100|50|0|0|0|0||||
ITEM|Spyglass|PHB|gear|100000|10|0|0|0|0||||
ITEM|Tent, two-person|PHB|gear|200|200|0|0|0|0||||
ITEM|Tinderbox|PHB|gear|50|10|0|0|0|0||||
ITEM|Torch|PHB|gear|1|10|0|0|0|0||||
ITEM|Vial|PHB|gear|100|0|0|0|0|0||||
ITEM|Waterskin|PHB|gear|20|50|0|0|0|0||||
ITEM|Whetstone|PHB|gear|1|10|0|0|0|0||||
ITEM|Alchemist's supplies|PHB|tool|5000|80|0|0|0|0||||
ITEM|Brewer's supplies|PHB|tool|2000|90|0|0|0|0||||
ITEM|Calligrapher's supplies|PHB|tool|1000|50|0|0|0|0||||
ITEM|Carpenter's tools|PHB|tool|800|60|0|0|0|0||||
ITEM|Cartographer's tools|PHB|tool|1500|60|0|0|0|0||||
ITEM|Cobbler's tools|PHB|tool|500|50|0|0|0|0||||
ITEM|Cook's utensils|PHB|tool|100|80|0|0|0|0||||
ITEM|Glassblower's tools|PHB|tool|3000|50|0|0|0|0||||
ITEM|Jeweler's tools|PHB|tool|2500|20|0|0|0|0||||
ITEM|Leatherworker's tools|PHB|tool|500|50|0|0|0|0||||
ITEM|Mason's tools|PHB|tool|1000|80|0|0|0|0||||
ITEM|Painter's supplies|PHB|tool|1000|50|0|0|0|0||||
ITEM|Potter's tools|PHB|tool|1000|30|0|0|0|0||||
ITEM|Smith's tools|PHB|tool|2000|80|0|0|0|0||||
ITEM|Tinker's tools|PHB|tool|5000|100|0|0|0|0||||
ITEM|Weaver's tools|PHB|tool|100|50|0|0|0|0||||
ITEM|Woodcarver's tools|PHB|tool|100|50|0|0|0|0||||
ITEM|Disguise kit|PHB|tool|2500|30|0|0|0|0||||
ITEM|Forgery kit|PHB|tool|1500|50|0|0|0|0||||
ITEM|Herbalism kit|PHB|tool|500|30|0|0|0|0||||
ITEM|Navigator's tools|PHB|tool|2500|20|0|0|0|0||||
ITEM|Poisoner's kit|PHB|tool|5000|20|0|0|0|0||||
ITEM|Thieves' tools|PHB|tool|2500|10|0|0|0|0||||
ITEM|Dice set|PHB|tool|10|0|0|0|0|0||||
ITEM|Dragonchess set|PHB|tool|100|5|0|0|0|0||||
ITEM|Playing card set|PHB|tool|50|0|0|0|0|0||||
ITEM|Three-Dragon Ante set|PHB|tool|100|0|0|0|0|0||||
ITEM|Bagpipes|PHB|tool|3000|60|0|0|0|0||||
ITEM|Drum|PHB|tool|600|30|0|0|0|0||||
ITEM|Dulcimer|PHB|tool|2500|100|0|0|0|0||||
ITEM|Flute|PHB|tool|200|10|0|0|0|0||||
ITEM|Lute|PHB|tool|3500|20|0|0|0|0||||
ITEM|Lyre|PHB|tool|3000|20|0|0|0|0||||
ITEM|Horn|PHB|tool|300|20|0|0|0|0||||
ITEM|Pan flute|PHB|tool|1200|20|0|0|0|0||||
ITEM|Shawm|PHB|tool|200|10|0|0|0|0||||
ITEM|Viol|PHB|tool|3000|10|0|0|0|0||||
ITEM|Camel|PHB|mount|5000|0|0|0|0|0||||
ITEM|Donkey or mule|PHB|mount|800|0|0|0|0|0||||
ITEM|Draft horse|PHB|mount|5000|0|0|0|0|0||||
ITEM|Elephant|PHB|mount|20000|0|0|0|0|0||||
ITEM|Mastiff|PHB|mount|2500|0|0|0|0|0||||
ITEM|Pony|PHB|mount|3000|0|0|0|0|0||||
ITEM|Riding horse|PHB|mount|7500|0|0|0|0|0||||
ITEM|Warhorse|PHB|mount|40000|0|0|0|0|0||||
ITEM|Saddle, riding|PHB|mount|1000|250|0|0|0|0||||
ITEM|Saddlebags|PHB|mount|400|80|0|0|0|0||||
ITEM|Feed (per day)|PHB|mount|5|100|0|0|0|0||||
ITEM|Saddle, exotic|PHB|mount|6000|400|0|0|0|0||||
ITEM|Saddle, military|PHB|mount|2000|300|0|0|0|0||||
ITEM|Saddle, pack|PHB|mount|500|150|0|0|0|0||||
ITEM|Bit and bridle|PHB|mount|200|10|0|0|0|0||||
ITEM|Stabling (per day)|PHB|mount|50|0|0|0|0|0||||
ITEM|Cart|PHB|mount|1500|2000|0|0|0|0||||
ITEM|Sled|PHB|mount|2000|3000|0|0|0|0||||
ITEM|Wagon|PHB|mount|3500|4000|0|0|0|0||||
ITEM|Carriage|PHB|mount|10000|6000|0|0|0|0||||
ITEM|Chariot|PHB|mount|25000|1000|0|0|0|0||||
ITEM|Rowboat|PHB|mount|5000|0|0|0|0|0||||
ITEM|Keelboat|PHB|mount|300000|0|0|0|0|0||||
ITEM|Longship|PHB|mount|1000000|0|0|0|0|0||||
ITEM|Sailing ship|PHB|mount|1000000|0|0|0|0|0||||
ITEM|Warship|PHB|mount|2500000|0|0|0|0|0||||
ITEM|Galley|PHB|mount|3000000|0|0|0|0|0||||

# ITEMNOTE | item | what it is and what it does
ITEMNOTE|Padded armor|Light armor: add your full Dexterity modifier to AC. Donning takes 1 minute, doffing 1 minute. The quilting makes you noisy: disadvantage on Stealth.
ITEMNOTE|Leather armor|Light armor: add your full Dexterity modifier to AC. Don 1 minute, doff 1 minute.
ITEMNOTE|Studded leather armor|Light armor: add your full Dexterity modifier to AC. Don 1 minute, doff 1 minute.
ITEMNOTE|Hide armor|Medium armor: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute.
ITEMNOTE|Chain shirt|Medium armor worn under clothing: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute.
ITEMNOTE|Scale mail|Medium armor: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute. Disadvantage on Stealth.
ITEMNOTE|Breastplate|Medium armor that leaves the limbs free: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute.
ITEMNOTE|Half plate|Medium armor: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute. Disadvantage on Stealth.
ITEMNOTE|Spiked Armor|Medium armor: add up to +2 from Dexterity. Don 5 minutes, doff 1 minute. Disadvantage on Stealth. A rare dwarven make -- a leather coat and leggings studded with metal spikes -- and the armour a Path of the Battlerager barbarian needs before any of its features do anything.
ITEMNOTE|Ring mail|Heavy armor: Dexterity does not apply. Don 10 minutes, doff 5 minutes. Disadvantage on Stealth.
ITEMNOTE|Chain mail|Heavy armor: Dexterity does not apply. Requires Strength 13 or your speed drops by 10 feet. Don 10 minutes, doff 5 minutes. Disadvantage on Stealth.
ITEMNOTE|Splint armor|Heavy armor: Dexterity does not apply. Requires Strength 15 or your speed drops by 10 feet. Don 10 minutes, doff 5 minutes. Disadvantage on Stealth.
ITEMNOTE|Plate armor|Heavy armor: Dexterity does not apply. Requires Strength 15 or your speed drops by 10 feet. Don 10 minutes, doff 5 minutes. Disadvantage on Stealth.
ITEMNOTE|Shield|Wielded in one hand for +2 AC. Donning or doffing it takes an action. You gain no benefit from more than one shield at a time.
ITEMNOTE|Acid (vial)|As an action, throw it up to 20 feet as a ranged attack against a creature or object; on a hit it deals 2d6 acid damage.
ITEMNOTE|Alchemist's fire (flask)|As an action, throw it up to 20 feet as a ranged attack. On a hit the target takes 1d4 fire damage at the start of each of its turns until someone uses an action to make a DC 10 Dexterity check to put it out.
ITEMNOTE|Antitoxin (vial)|Drinking it grants advantage on saving throws against poison for 1 hour. It does nothing for undead or constructs.
ITEMNOTE|Ball bearings (bag of 1,000)|As an action, spill them across a level 10-foot square. A creature moving through must make a DC 10 Dexterity save or fall prone; moving at half speed avoids the save.
ITEMNOTE|Caltrops (bag of 20)|As an action, scatter them over a 5-foot square. A creature entering must make a DC 15 Dexterity save or take 1 piercing damage and stop moving, its speed reduced by 10 feet until healed; moving through at half speed avoids the save.
ITEMNOTE|Block and tackle|Pulleys and a hook that let you hoist up to four times the weight you could normally lift.
ITEMNOTE|Book|Writing or pictures of any kind -- poetry, history, lore, diagrams. Spells go in a spellbook instead.
ITEMNOTE|Candle|Burns for 1 hour, shedding bright light in a 5-foot radius and dim light for 5 feet beyond.
ITEMNOTE|Chain (10 feet)|Has 10 hit points and can be burst with a DC 20 Strength check.
ITEMNOTE|Climber's kit|Pitons, boot tips, gloves and a harness. As an action you can anchor yourself, after which you cannot fall more than 25 feet from that point and cannot move more than 25 feet from it without unanchoring.
ITEMNOTE|Component pouch|A watertight belt pouch holding every material component your spells need, except those with a listed cost. It can replace a spellcasting focus.
ITEMNOTE|Crowbar|Grants advantage on Strength checks where its leverage applies.
ITEMNOTE|Crystal (arcane focus)|An arcane focus: a sorcerer, warlock or wizard can use it in place of the material components of their spells, except those with a listed cost.
ITEMNOTE|Orb (arcane focus)|An arcane focus for a sorcerer, warlock or wizard.
ITEMNOTE|Rod (arcane focus)|An arcane focus for a sorcerer, warlock or wizard.
ITEMNOTE|Staff (arcane focus)|An arcane focus for a sorcerer, warlock or wizard.
ITEMNOTE|Wand (arcane focus)|An arcane focus for a sorcerer, warlock or wizard.
ITEMNOTE|Sprig of mistletoe (druidic focus)|A druidic focus: a druid or ranger can use it in place of the material components of their spells, except those with a listed cost.
ITEMNOTE|Wooden staff (druidic focus)|A druidic focus for a druid.
ITEMNOTE|Yew wand (druidic focus)|A druidic focus for a druid or ranger.
ITEMNOTE|Amulet (holy symbol)|A holy symbol: a cleric or paladin can use it in place of the material components of their spells. It must be held, worn visibly, or borne on a shield.
ITEMNOTE|Emblem (holy symbol)|A holy symbol emblazoned on a shield or worn visibly.
ITEMNOTE|Reliquary (holy symbol)|A holy symbol in the form of a small box holding a sacred relic.
ITEMNOTE|Fishing tackle|A rod, line, bobbers, hooks, sinkers, lures and netting, for catching fish.
ITEMNOTE|Healer's kit|Ten uses. As an action, spend one to stabilise a creature at 0 hit points without needing a Wisdom (Medicine) check.
ITEMNOTE|Holy water (flask)|As an action, splash it on a creature within 5 feet or throw it up to 20 feet as a ranged attack. A fiend or undead takes 2d6 radiant damage.
ITEMNOTE|Hunting trap|Set as an action. A creature stepping on it makes a DC 13 Dexterity save or takes 1d4 piercing damage and stops moving; escaping needs a DC 13 Strength check.
ITEMNOTE|Lamp|Bright light in a 15-foot radius and dim light for 30 feet beyond. Burns 6 hours on a pint of oil.
ITEMNOTE|Lantern, bullseye|Bright light in a 60-foot cone and dim light for 60 feet beyond. Burns 6 hours on a pint of oil.
ITEMNOTE|Lantern, hooded|Bright light in a 30-foot radius and dim light for 30 feet beyond. Burns 6 hours on a pint of oil; as an action you can lower the hood to dim it to a 5-foot radius.
ITEMNOTE|Lock|Comes with one key. Without it, picking the lock needs thieves' tools and a successful DC 15 Dexterity check.
ITEMNOTE|Magnifying glass|Grants advantage on any check to appraise or inspect a small or highly detailed item. In sunlight it can also start a fire, given tinder and about 5 minutes.
ITEMNOTE|Manacles|Bind a Small or Medium creature. Escaping needs a DC 20 Dexterity check; breaking them a DC 20 Strength check. Each set comes with one key.
ITEMNOTE|Mess kit|A tin box holding a cup and cutlery, with one side serving as a pan and the other as a plate.
ITEMNOTE|Oil (flask)|A pint. Thrown as an improvised weapon it shatters and coats a creature, which then takes 5 fire damage if set alight; or pour it on the ground to cover a 5-foot square.
ITEMNOTE|Poison, basic (vial)|Apply it to one slashing or piercing weapon or up to three pieces of ammunition. A creature hit makes a DC 10 Constitution save or takes 1d4 poison damage. It dries after 1 minute.
ITEMNOTE|Potion of healing|Drinking or administering it takes an action and restores 2d4 + 2 hit points.
ITEMNOTE|Pouch|Holds up to 20 sling bullets, 50 blowgun needles, or a fifth of a cubic foot of gear.
ITEMNOTE|Quiver|Holds up to 20 arrows.
ITEMNOTE|Ram, portable|Grants +4 on Strength checks to break down a door, and another character helping adds advantage.
ITEMNOTE|Rations (1 day)|Dry food for travel: jerky, dried fruit, hardtack and nuts.
ITEMNOTE|Rope, hempen (50 feet)|Has 2 hit points and can be burst with a DC 17 Strength check.
ITEMNOTE|Rope, silk (50 feet)|Lighter than hemp; has 2 hit points and can be burst with a DC 17 Strength check.
ITEMNOTE|Scale, merchant's|A balance, pans and weights, for measuring coins, gems and trade goods.
ITEMNOTE|Spellbook|A leather-bound tome of 100 blank vellum pages, in which a wizard records the spells they know.
ITEMNOTE|Spyglass|Objects viewed through it appear twice their size.
ITEMNOTE|Tent, two-person|A portable canvas shelter that sleeps two.
ITEMNOTE|Tinderbox|Flint, steel and tinder. Lighting a torch takes an action; lighting any other fire takes a minute.
ITEMNOTE|Torch|Burns for 1 hour, giving bright light in a 20-foot radius and dim light for 20 feet beyond. A melee attack with a lit torch deals 1 fire damage.
ITEMNOTE|Alchemist's supplies|Beakers, a frame, a mortar and pestle, and pouches of reagents. Helps with Arcana checks on alchemical matters and Investigation of chemical traces, and lets you make acid, alchemist's fire, oil, perfume and soap.
ITEMNOTE|Brewer's supplies|A large glass jar, tubing, a siphon and hydrometer. Helps with History checks about famous brews, Medicine checks to stave off infection, and Persuasion when a drink smooths the way. Purifies water.
ITEMNOTE|Calligrapher's supplies|Ink, a variety of pens and parchment. Helps with Arcana checks on runes and scripts and History checks on old documents, and lets you produce convincing writing.
ITEMNOTE|Carpenter's tools|A saw, hammer, nails, hatchet, square, ruler, adze, plane and chisel. Helps with History checks about structures, Investigation of wooden construction, and Perception to spot a hidden compartment.
ITEMNOTE|Cartographer's tools|Quills, ink, parchment, calipers, compasses and rulers. Helps with Arcana and History checks about maps, Nature checks to judge terrain, and Survival to avoid getting lost.
ITEMNOTE|Cobbler's tools|A hammer, awl, knife, shoe stand, thread and leather. Helps with Arcana checks on magical footwear, History checks on a shoe's origin, and Investigation of where someone has walked.
ITEMNOTE|Cook's utensils|A metal pot, knives, forks, a stirring spoon and ladle. Helps with History checks on regional dishes, Medicine to prepare food for the sick, and Survival to make the most of foraged food.
ITEMNOTE|Glassblower's tools|A blowpipe, a small marver, blocks and tweezers. Helps with Arcana checks on magical glass objects, History checks about a piece's origin, and Investigation of flaws or hidden contents.
ITEMNOTE|Jeweler's tools|A small saw and hammer, files, pliers and tweezers. Helps with Arcana checks on gem-based magic, Investigation to appraise gems, and lets you identify a stone's value.
ITEMNOTE|Leatherworker's tools|A knife, mallet, edger, hole punch, thread and leather. Helps with Arcana checks on leather magic items, Investigation of leatherwork, and repairs to leather armor.
ITEMNOTE|Mason's tools|A trowel, hammer, chisel, brushes and square. Helps with History checks on stonework, Investigation to find a weak point, and Perception to spot unusual masonry.
