# world.txt -- gods, beasts, sidekicks and the background tables
#
# One record per line: a tag, then '|' separated fields. A '#' at the
# start of a line is a comment, and blank lines are ignored. The comment
# above each block names the columns.
#
# A field that needs a literal '|' or '\' writes it as '\|' or '\\'.
# A line ending in '\' continues on the next line.
#
# tools/build_data.py turns this file into C. Run `make data` after an
# edit; it checks every cross-reference and refuses to write on an error.

# DEITY | name | title | pantheon | alignment | domains | symbol
DEITY|Umberlee|goddess of the sea|Forgotten Realms|CE|Tempest|Wave curling left and right
DEITY|Waukeen|goddess of trade|Forgotten Realms|N|Knowledge, Trickery|Upright coin with Waukeen's profile facing left
DEITY|Beory|goddess of nature|Greyhawk|N|Nature|Green disk
DEITY|Boccob|god of magic|Greyhawk|N|Knowledge|Eye within a pentagram
DEITY|Celestian|god of stars and wanderers|Greyhawk|N|Knowledge|Arc of seven stars inside a circle
DEITY|Ehlonna|goddess of woodlands|Greyhawk|NG|Life, Nature|Unicorn horn
DEITY|Erythnul|god of envy and slaughter|Greyhawk|CE|War|Blood drop
DEITY|Fharlanghn|god of horizons and travel|Greyhawk|NG|Knowledge, Trickery|Circle crossed by a curved horizon line
DEITY|Heironeous|god of chivalry and valor|Greyhawk|LG|War|Lightning bolt
DEITY|Hextor|god of war and discord|Greyhawk|LE|War|Six arrows facing downward in a fan
DEITY|Kord|god of athletics and sport|Greyhawk|CG|Tempest, War|Four spears and four maces radiating out from a central point
DEITY|Incabulos|god of plague and famine|Greyhawk|NE|Death|Reptilian eye with a horizontal diamond
DEITY|Istus|goddess of fate and destiny|Greyhawk|N|Knowledge|Weaver's spindle with three strands
DEITY|Iuz|god of pain and oppression|Greyhawk|CE|Death|Grinning human skull
DEITY|Nerull|god of death|Greyhawk|NE|Death|Skull with either a sickle or a scythe
DEITY|Obad-Hai|god of nature|Greyhawk|N|Nature|Oak leaf and acorn
DEITY|Olidammara|god of revelry|Greyhawk|CN|Trickery|Laughing mask
DEITY|Pelor|god of the sun and healing|Greyhawk|NG|Life, Light|Sun
DEITY|Pholtus|god of light and law|Greyhawk|LG|Light|Silver sun or full moon partially eclipsed by a smaller crescent moon
DEITY|Ralishaz|god of ill luck and insanity|Greyhawk|CN|Trickery|Three bone fate-casting sticks
DEITY|Rao|god of peace and reason|Greyhawk|LG|Knowledge|White heart
DEITY|St. Cuthbert|god of common sense and zeal|Greyhawk|LN|Knowledge|Circle at the center of a starburst of lines
DEITY|Tharizdun|god of eternal darkness|Greyhawk|CE|Trickery|Dark spiral or inverted ziggurat
DEITY|Trithereon|god of liberty and retribution|Greyhawk|CG|War|Triskelion
DEITY|Ulaa|goddess of hills and mountains|Greyhawk|LG|Life, War|Mountain with a circle at its heart
DEITY|Vecna|god of evil secrets|Greyhawk|NE|Knowledge|Hand with eye in the palm
DEITY|Wee Jas|goddess of magic and death|Greyhawk|LN|Death, Knowledge|Red skull in front of fireball
DEITY|Paladine|god of rulers and guardians|Dragonlance|LG|War|Silver triangle
DEITY|Branchala|god of music|Dragonlance|NG|Light|Bard's harp
DEITY|Habbakuk|god of animal life and the sea|Dragonlance|NG|Nature, Tempest|Blue bird
DEITY|Kiri-Jolith|god of honor and war|Dragonlance|LG|War|Bison's horns
DEITY|Majere|god of meditation and order|Dragonlance|LG|Knowledge|Copper spider
DEITY|Mishakal|goddess of healing|Dragonlance|LG|Knowledge, Life|Blue infinity sign
DEITY|Solinari|god of good magic|Dragonlance|LG|None|White circle or sphere
DEITY|Gilean|god of knowledge|Dragonlance|N|Knowledge|Open book
DEITY|Chislev|goddess of nature|Dragonlance|N|Nature|Feather
DEITY|Reorx|god of craft|Dragonlance|N|Knowledge|Forging hammer
DEITY|Shinare|goddess of wealth and trade|Dragonlance|N|Knowledge, Trickery|Griffon's wing
DEITY|Sirrion|god of fire and change|Dragonlance|N|Nature|Multi-colored fire
DEITY|Zivilyn|god of wisdom|Dragonlance|N|Knowledge|Great green or gold tree
DEITY|Lunitari|goddess of neutral magic|Dragonlance|N|None|Red circle or sphere
DEITY|Takhisis|goddess of night and hatred|Dragonlance|LE|Death|Black crescent
DEITY|Chemosh|god of the undead|Dragonlance|LE|Death|Yellow skull
DEITY|Hiddukel|god of lies and greed|Dragonlance|CE|Trickery|Broken merchant's scales
DEITY|Morgion|god of disease and secrecy|Dragonlance|NE|Death|Hood with two red eyes
DEITY|Sargonnas|god of vengeance and fire|Dragonlance|LE|War|Stylized red condor
DEITY|Zeboim|goddess of the sea and storms|Dragonlance|CE|Tempest|Turtle shell
DEITY|Nuitari|god of evil magic|Dragonlance|LE|None|Black circle or sphere
DEITY|Arawai|goddess of fertility|Eberron|NG|Life, Nature|Sheaf of wheat tied with green ribbon
DEITY|Aureon|god of law and knowledge|Eberron|LN|Knowledge|Open tome
DEITY|Balinor|god of beasts and the hunt|Eberron|N|Life, Nature|Pair of antlers
DEITY|Boldrei|goddess of community and home|Eberron|LG|Life|Fire in a stone hearth
DEITY|Dol Arrah|goddess of sunlight and honor|Eberron|LG|Light, War|Rising sun
DEITY|Dol Dorn|god of strength at arms|Eberron|CG|War|Longsword crossed over a shield
DEITY|Kol Korran|god of trade and wealth|Eberron|N|Trickery|Nine-sided gold coin
DEITY|Olladra|goddess of good fortune|Eberron|NG|Life, Trickery|Domino
DEITY|Onatar|god of craft|Eberron|NG|Knowledge|Crossed hammer and tongs
DEITY|The Devourer|god of nature's wrath|Eberron|NE|Tempest|Bundle of five sharpened bones
DEITY|The Fury|goddess of wrath and madness|Eberron|NE|War|Winged wyrm with woman's head and upper body
DEITY|The Keeper|god of greed and death|Eberron|NE|Death|Dragonshard stone in the shape of a fang
DEITY|The Mockery|god of violence and treachery|Eberron|NE|War|Five blood-spattered tools
DEITY|The Shadow|god of dark magic|Eberron|CE|Knowledge|Obsidian tower
DEITY|The Traveler|deity of chaos and change|Eberron|CN|Knowledge, Trickery|Four crossed, rune-inscribed bones
DEITY|The Silver Flame|deity of protection and good|Eberron|LG|Life, Light, War|Flame drawn on silver or molded from silver
DEITY|The Blood of Vol|philosophy of immortality and undeath|Eberron|LN|Death, Life|Stylized dragon skull on red teardrop gem
DEITY|Cults of the Dragon Below|deities of madness|Eberron|NE|Trickery|Varies
DEITY|The Path of Light|philosophy of light and self-improvement|Eberron|LN|Life, Light|Brilliant crystal
DEITY|The Undying Court|elven ancestors|Eberron|NG|Knowledge, Life|Varies
DEITY|The Spirits of the Past|elven ancestors|Eberron|CG|War|Varies
DEITY|Bahamut|dragon god of good|Nonhuman|LG|Life, War|Dragon's head in profile
DEITY|Blibdoolpoolp|kuo-toa goddess|Nonhuman|NE|Death|Lobster head or black pearl
DEITY|Corellon Larethian|elf deity of art and magic|Nonhuman|CG|Light|Quarter moon or starburst
DEITY|Deep Sashelas|elf god of the sea|Nonhuman|CG|Nature, Tempest|Dolphin
DEITY|Eadro|merfolk deity of the sea|Nonhuman|N|Nature, Tempest|Spiral design
DEITY|Garl Glittergold|gnome god of trickery and wiles|Nonhuman|LG|Trickery|Gold nugget
DEITY|Grolantor|hill giant god of war|Nonhuman|CE|War|Wooden club
DEITY|Gruumsh|orc god of storms and war|Nonhuman|CE|Tempest, War|Unblinking eye
DEITY|Hruggek|bugbear god of violence|Nonhuman|CE|War|Morningstar
DEITY|Kurtulmak|kobold god of war and mining|Nonhuman|LE|War|Gnome skull
DEITY|Laogzed|troglodyte god of hunger|Nonhuman|CE|Death|Image of the lizard/toad god
DEITY|Lolth|drow goddess of spiders|Nonhuman|CE|Trickery|Spider
DEITY|Maglubiyet|goblinoid god of war|Nonhuman|LE|War|Bloody axe
DEITY|Moradin|dwarf god of creation|Nonhuman|LG|Knowledge|Hammer and anvil
DEITY|Rillifane Rallathil|wood elf god of nature|Nonhuman|CG|Nature|Oak
DEITY|Sehanine Moonbow|elf goddess of the moon|Nonhuman|CG|Knowledge|Crescent moon
DEITY|Sekolah|sahuagin god of the hunt|Nonhuman|LE|Nature, Tempest|Shark
DEITY|Semuanya|lizardfolk deity of survival|Nonhuman|N|Life|Egg
DEITY|Skerrit|centaur and satyr god of nature|Nonhuman|N|Nature|Oak growing from acorn
DEITY|Skoraeus Stonebones|god of stone giants and art|Nonhuman|N|Knowledge|Stalactite
DEITY|Surtur|god of fire giants and craft|Nonhuman|LE|Knowledge, War|Flaming sword
DEITY|Thrym|god of frost giants and strength|Nonhuman|CE|War|White double-bladed axe
DEITY|Tiamat|dragon goddess of evil|Nonhuman|LE|Trickery|Dragon head with five claw marks
DEITY|Yondalla|halfling goddess of fertility and protection|Nonhuman|LG|Life|Shield
DEITY|The Daghdha|god of weather and crops|Celtic|CG|Nature, Trickery|Bubbling cauldron or shield
DEITY|Arawn|god of life and death|Celtic|NE|Life, Death|Black star on gray background
DEITY|Belenus|god of sun, light, and warmth|Celtic|NG|Light|Solar disk and standing stones
DEITY|Brigantia|goddess of rivers and livestock|Celtic|NG|Life|Footbridge
DEITY|Diancecht|god of medicine and healing|Celtic|LG|Life|Crossed oak and mistletoe branches
DEITY|Dunatis|god of mountains and peaks|Celtic|N|Nature|Red sun-capped mountain peak
DEITY|Goibhniu|god of smiths and healing|Celtic|NG|Knowledge, Life|Giant mallet over sword
DEITY|Lugh|god of arts, travel, and commerce|Celtic|CN|Knowledge, Life|Pair of long hands
DEITY|Manannan mac Lir|god of oceans and sea creatures|Celtic|LN|Nature, Tempest|Wave of white water on green
DEITY|Math Mathonwy|god of magic|Celtic|NE|Knowledge|Staff
DEITY|Morrigan|goddess of battle|Celtic|CE|War|Two crossed spears
DEITY|Nuada|god of war and warriors|Celtic|N|War|Silver hand on black background
DEITY|Oghma|god of speech and writing|Celtic|NG|Knowledge|Unfurled scroll
DEITY|Silvanus|god of nature and forests|Celtic|N|Nature|Summer oak tree
DEITY|Zeus|god of the sky, ruler of the gods|Greek|N|Tempest|Fist full of lightning bolts
DEITY|Aphrodite|goddess of love and beauty|Greek|CG|Light|Sea shell
DEITY|Apollo|god of light, music, and healing|Greek|CG|Knowledge, Life, Light|Lyre
DEITY|Ares|god of war and strife|Greek|CE|War|Spear
DEITY|Artemis|goddess of hunting and childbirth|Greek|NG|Life, Nature|Bow and arrow on lunar disk
DEITY|Athena|goddess of wisdom and civilization|Greek|LG|Knowledge, War|Owl
DEITY|Demeter|goddess of agriculture|Greek|NG|Life|Mare's head
DEITY|Dionysus|god of mirth and wine|Greek|CN|Life|Thyrsus (staff tipped with pine cone)
DEITY|Hades|god of the underworld|Greek|LE|Death|Black ram
DEITY|Hecate|goddess of magic and the moon|Greek|CE|Knowledge, Trickery|Setting moon
DEITY|Hephaestus|god of smithing and craft|Greek|NG|Knowledge|Hammer and anvil
DEITY|Hera|goddess of marriage and intrigue|Greek|CN|Trickery|Fan of peacock feathers
DEITY|Hercules|god of strength and adventure|Greek|CG|Tempest, War|Lion's head
DEITY|Hermes|god of travel and commerce|Greek|CG|Trickery|Caduceus (winged staff and serpents)
DEITY|Hestia|goddess of home and family|Greek|NG|Life|Hearth
DEITY|Nike|goddess of victory|Greek|LN|War|Winged woman
DEITY|Pan|god of nature|Greek|CN|Nature|Syrinx (pan pipes)
DEITY|Poseidon|god of the sea and earthquakes|Greek|CN|Tempest|Trident
DEITY|Tyche|goddess of good fortune|Greek|N|Trickery|Red pentagram
DEITY|Re-Horakhty|god of the sun, ruler of the gods|Egyptian|LG|Life, Light|Solar disk encircled by serpent
DEITY|Anubis|god of judgment and death|Egyptian|LN|Death|Black jackal
DEITY|Apep|god of evil, fire, and serpents|Egyptian|NE|Trickery|Flaming snake
DEITY|Bast|goddess of cats and vengeance|Egyptian|CG|War|Cat
DEITY|Bes|god of luck and music|Egyptian|CN|Trickery|Image of the misshapen deity
DEITY|Hathor|goddess of love, music, and motherhood|Egyptian|NG|Life, Light|Horned cow's head with lunar disk
DEITY|Imhotep|god of crafts and medicine|Egyptian|NG|Knowledge|Step pyramid
DEITY|Isis|goddess of fertility and magic|Egyptian|NG|Knowledge, Life|Ankh and star
DEITY|Nephthys|goddess of death and grief|Egyptian|CG|Death|Horns around a lunar disk
DEITY|Osiris|god of nature and the underworld|Egyptian|LG|Life, Nature|Crook and flail
DEITY|Ptah|god of crafts, knowledge, and secrets|Egyptian|LN|Knowledge|Bull
DEITY|Set|god of darkness and desert storms|Egyptian|CE|Death, Tempest, Trickery|Coiled cobra
DEITY|Sobek|god of water and crocodiles|Egyptian|LE|Nature, Tempest|Crocodile head with horns and plumes
DEITY|Thoth|god of knowledge and wisdom|Egyptian|N|Knowledge|Ibis
DEITY|Odin|god of knowledge and war|Norse|NG|Knowledge, War|Watching blue eye
DEITY|Aegir|god of the sea and storms|Norse|NE|Tempest|Rough ocean waves
DEITY|Balder|god of beauty and poetry|Norse|NG|Life, Light|Gem-encrusted silver chalice
DEITY|Forseti|god of justice and law|Norse|N|Light|Head of a bearded man
DEITY|Frey|god of fertility and the sun|Norse|NG|Life, Light|Ice-blue greatsword
DEITY|Freya|goddess of fertility and love|Norse|NG|Life|Falcon
DEITY|Frigga|goddess of birth and fertility|Norse|N|Life, Light|Cat
DEITY|Heimdall|god of watchfulness and loyalty|Norse|LG|Light, War|Curling musical horn
DEITY|Hel|goddess of the underworld|Norse|NE|Death|
DEITY|Hermod|god of luck|Norse|CN|Trickery|Winged scroll
DEITY|Loki|god of thieves and trickery|Norse|CE|Trickery|Flame
DEITY|Njord|god of sea and wind|Norse|NG|Nature, Tempest|Gold coin
DEITY|Odur|god of light and the sun|Norse|CG|Light|Solar disk
DEITY|Sif|goddess of war|Norse|CG|War|Upraised sword
DEITY|Skadi|god of earth and mountains|Norse|N|Nature|Mountain peak
DEITY|Surtur|god of fire giants and war|Norse|LE|War|Flaming sword
DEITY|Thor|god of storms and thunder|Norse|CG|Tempest, War|Hammer
DEITY|Thrym|god of fire giants and cold|Norse|CE|War|White double-bladed axe
DEITY|Tyr|god of courage and strategy|Norse|LN|Knowledge, War|Sword
DEITY|Uller|god of hunting and winter|Norse|CN|Nature|Longbow

# BEASTSIZE | name, smallest first
BEASTSIZE|Tiny
BEASTSIZE|Small
BEASTSIZE|Medium
BEASTSIZE|Large
BEASTSIZE|Huge
BEASTSIZE|Gargantuan

# BEAST | name | size | ac | hp | challenge in eighths | speed | STR | DEX | CON | INT | WIS | CHA | challenge | senses
BEAST|Allosaurus|Large|13|51|16|60 ft|19|13|17|2|12|5|2|passive Perception 15
BEAST|Ankylosaurus|Huge|15|68|24|30 ft|19|11|15|2|12|5|3|passive Perception 11
BEAST|Ape|Medium|12|19|4|30 ft., climb 30 ft|16|14|14|6|12|7|1/2|passive Perception 13
BEAST|Axe Beak|Large|11|19|2|50 ft|14|12|12|2|10|5|1/4|passive Perception 10
BEAST|Baboon|Small|12|3|0|30 ft., climb 30 ft|8|14|11|4|12|6|0|passive Perception 11
BEAST|Badger|Tiny|10|3|0|20 ft., burrow 5 ft|4|11|12|2|12|5|0|darkvision 30 ft., passive Perception 11
BEAST|Bat|Tiny|12|1|0|5 ft., fly 30 ft|2|15|8|2|12|4|0|blindsight 60 ft., passive Perception 11
BEAST|Black Bear|Medium|11|19|4|40 ft., climb 30 ft|15|10|14|2|12|7|1/2|passive Perception 13
BEAST|Blood Hawk|Small|12|7|1|10 ft., fly 60 ft|6|14|10|3|14|5|1/8|passive Perception 14
BEAST|Boar|Medium|11|11|2|40 ft|13|11|12|2|9|5|1/4|passive Perception 9
BEAST|Brown Bear|Large|11|34|8|40 ft., climb 30 ft|19|10|16|2|13|7|1|passive Perception 13
BEAST|Camel|Large|9|15|1|50 ft|16|8|14|2|8|5|1/8|passive Perception 9
BEAST|Cat|Tiny|12|2|0|40 ft., climb 30 ft|3|15|10|3|12|7|0|passive Perception 13
BEAST|Constrictor Snake|Large|12|13|2|30 ft., swim 30 ft|15|14|12|1|10|3|1/4|blindsight 10 ft., passive Perception 10
BEAST|Crab|Tiny|11|2|0|20 ft., swim 20 ft|2|11|10|1|8|2|0|blindsight 30 ft., passive Perception 9
BEAST|Crocodile|Large|12|19|4|20 ft., swim 30 ft|15|10|13|2|10|5|1/2|passive Perception 10
BEAST|Deer|Medium|13|4|0|50 ft|11|16|11|2|14|5|0|passive Perception 12
BEAST|Dire Wolf|Large|14|37|8|50 ft|17|15|15|3|12|7|1|passive Perception 13
BEAST|Draft Horse|Large|10|19|2|40 ft|18|10|12|2|11|7|1/4|passive Perception 10
BEAST|Eagle|Small|12|3|0|10 ft., fly 60 ft|6|15|10|2|14|7|0|passive Perception 14
BEAST|Elephant|Huge|12|76|32|40 ft|22|9|17|3|11|6|4|passive Perception 10
BEAST|Elk|Large|10|13|2|50 ft|16|10|12|2|10|6|1/4|passive Perception 10
BEAST|Flying Snake|Tiny|14|5|1|30 ft., fly 60 ft., swim 30 ft|4|18|11|2|12|5|1/8|blindsight 10 ft., passive Perception 11
BEAST|Frog|Tiny|11|1|0|20 ft., swim 20 ft|1|13|8|1|8|3|0|darkvision 30 ft., passive Perception 11
BEAST|Giant Ape|Huge|12|157|56|40 ft., climb 40 ft|23|14|18|7|12|7|7|passive Perception 14
BEAST|Giant Badger|Medium|10|13|2|30 ft., burrow 10 ft|13|10|15|2|12|5|1/4|darkvision 30 ft., passive Perception 11
BEAST|Giant Bat|Large|13|22|2|10 ft., fly 60 ft|15|16|11|2|12|6|1/4|blindsight 60 ft., passive Perception 11
BEAST|Giant Boar|Large|12|42|16|40 ft|17|10|16|2|7|5|2|passive Perception 8
BEAST|Giant Centipede|Small|13|4|2|30 ft., climb 30 ft|5|14|12|1|7|3|1/4|blindsight 30 ft., passive Perception 8
BEAST|Giant Constrictor Snake|Huge|12|60|16|30 ft., swim 30 ft|19|14|12|1|10|3|2|blindsight 10 ft., passive Perception 12
BEAST|Giant Crab|Medium|15|13|1|30 ft., swim 30 ft|13|15|11|1|9|3|1/8|blindsight 30 ft., passive Perception 9
BEAST|Giant Crocodile|Huge|14|85|40|30 ft., swim 50 ft|21|9|17|2|10|7|5|passive Perception 10
BEAST|Giant Eagle|Large|13|26|8|10 ft., fly 80 ft|16|17|13|8|14|10|1|passive Perception 14
BEAST|Giant Elk|Huge|14|42|16|60 ft|19|16|14|7|14|10|2|passive Perception 14
BEAST|Giant Fire Beetle|Small|13|4|0|30 ft|8|10|12|1|7|3|0|blindsight 30 ft., passive Perception 8
BEAST|Giant Frog|Medium|11|18|2|30 ft., swim 30 ft|12|13|11|2|10|3|1/4|darkvision 30 ft., passive Perception 12
BEAST|Giant Goat|Large|11|19|4|40 ft|17|11|12|3|12|6|1/2|passive Perception 11
BEAST|Giant Hyena|Large|12|45|8|50 ft|16|14|14|2|12|7|1|passive Perception 13
BEAST|Giant Lizard|Large|12|19|2|30 ft., climb 30 ft|15|12|13|2|10|5|1/4|darkvision 30 ft., passive Perception 10
BEAST|Giant Octopus|Large|11|52|8|10 ft., swim 60 ft|17|13|13|4|10|4|1|darkvision 60 ft., passive Perception 14
BEAST|Giant Owl|Large|12|19|2|5 ft., fly 60 ft|13|15|12|8|13|10|1/4|darkvision 120 ft., passive Perception 15
BEAST|Giant Poisonous Snake|Medium|14|11|2|30 ft., swim 30 ft|10|18|13|2|10|3|1/4|blindsight 10 ft., passive Perception 12
BEAST|Giant Rat|Small|12|7|1|30 ft|7|15|11|2|10|4|1/8|darkvision 60 ft., passive Perception 10
BEAST|Giant Scorpion|Large|15|52|24|40 ft|15|13|15|1|9|3|3|blindsight 60 ft., passive Perception 9
BEAST|Giant Sea Horse|Large|13|16|4|0 ft., swim 40 ft|12|15|11|2|12|5|1/2|passive Perception 11
BEAST|Giant Shark|Huge|13|126|40|0 ft., swim 50 ft|23|11|21|1|10|5|5|blindsight 60 ft., passive Perception 13
BEAST|Giant Spider|Large|14|26|8|30 ft., climb 30 ft|14|16|12|2|11|4|1|blindsight 10 ft., darkvision 60 ft., passive Perception 10
BEAST|Giant Toad|Large|11|39|8|20 ft., swim 40 ft|15|13|13|2|10|3|1|darkvision 30 ft., passive Perception 10
BEAST|Giant Vulture|Large|10|22|8|10 ft., fly 60 ft|15|10|15|6|12|7|1|passive Perception 13
BEAST|Giant Wasp|Medium|12|13|4|10 ft., fly 50 ft|10|14|10|1|10|3|1/2|passive Perception 10
BEAST|Giant Weasel|Medium|13|9|1|40 ft|11|16|10|4|12|5|1/8|darkvision 60 ft., passive Perception 13
BEAST|Giant Wolf Spider|Medium|13|11|2|40 ft., climb 40 ft|12|16|13|3|12|4|1/4|blindsight 10 ft., darkvision 60 ft., passive Perception 13
BEAST|Goat|Medium|10|4|0|40 ft|12|10|11|2|10|5|0|passive Perception 10
BEAST|Hawk|Tiny|13|1|0|10 ft., fly 60 ft|5|16|8|2|14|6|0|passive Perception 14
BEAST|Hunter Shark|Large|12|45|16|0 ft., swim 40 ft|18|13|15|1|10|4|2|blindsight 30 ft., passive Perception 12
BEAST|Hyena|Medium|11|5|0|50 ft|11|13|12|2|12|5|0|passive Perception 13
BEAST|Jackal|Small|12|3|0|40 ft|8|15|11|3|12|6|0|passive Perception 13
BEAST|Killer Whale|Huge|12|90|24|0 ft., swim 60 ft|19|10|13|3|12|7|3|blindsight 120 ft., passive Perception 13
BEAST|Lion|Large|12|26|8|50 ft|17|15|13|3|12|8|1|passive Perception 13
BEAST|Lizard|Tiny|10|2|0|20 ft., climb 20 ft|2|11|10|1|8|3|0|darkvision 30 ft., passive Perception 9
BEAST|Mammoth|Huge|13|126|48|40 ft|24|9|21|3|11|6|6|passive Perception 10
BEAST|Mastiff|Medium|12|5|1|40 ft|13|14|12|3|12|7|1/8|passive Perception 13
BEAST|Mule|Medium|10|11|1|40 ft|14|10|13|2|10|5|1/8|passive Perception 10
BEAST|Octopus|Small|12|3|0|5 ft., swim 30 ft|4|15|11|3|10|4|0|darkvision 30 ft., passive Perception 12
BEAST|Owl|Tiny|11|1|0|5 ft., fly 60 ft|3|13|8|2|12|7|0|darkvision 120 ft., passive Perception 13
BEAST|Panther|Medium|12|13|2|50 ft., climb 40 ft|14|15|10|3|14|7|1/4|passive Perception 14
BEAST|Plesiosaurus|Large|13|68|16|20 ft., swim 40 ft|18|15|16|2|12|5|2|passive Perception 13
BEAST|Poisonous Snake|Tiny|13|2|1|30 ft., swim 30 ft|2|16|11|1|10|3|1/8|blindsight 10 ft., passive Perception 10
BEAST|Polar Bear|Large|12|42|16|40 ft., swim 30 ft|20|10|16|2|13|7|2|passive Perception 13
BEAST|Pony|Medium|10|11|1|40 ft|15|10|13|2|11|7|1/8|passive Perception 10
BEAST|Pteranodon|Medium|13|13|2|10 ft., fly 60 ft|12|15|10|2|9|5|1/4|passive Perception 11
BEAST|Quipper|Tiny|13|1|0|0 ft., swim 40 ft|2|16|9|1|7|2|0|darkvision 60 ft., passive Perception 8
BEAST|Rat|Tiny|10|1|0|20 ft|2|11|9|2|10|4|0|darkvision 30 ft., passive Perception 10
BEAST|Raven|Tiny|12|1|0|10 ft., fly 50 ft|2|14|8|2|12|6|0|passive Perception 13
BEAST|Reef Shark|Medium|12|22|4|0 ft., swim 40 ft|14|13|13|1|10|4|1/2|blindsight 30 ft., passive Perception 12
BEAST|Rhinoceros|Large|11|45|16|40 ft|21|8|15|2|12|6|2|passive Perception 11
BEAST|Riding Horse|Large|10|13|2|60 ft|16|10|12|2|11|7|1/4|passive Perception 10
BEAST|Saber-Toothed Tiger|Large|12|52|16|40 ft|18|14|15|3|12|8|2|passive Perception 13
BEAST|Scorpion|Tiny|11|1|0|10 ft|2|11|8|1|8|2|0|blindsight 10 ft., passive Perception 9
BEAST|Sea Horse|Tiny|11|1|0|0 ft., swim 20 ft|1|12|8|1|10|2|0|passive Perception 10
BEAST|Spider|Tiny|12|1|0|20 ft., climb 20 ft|2|14|8|1|10|2|0|darkvision 30 ft., passive Perception 10
BEAST|Tiger|Large|12|37|8|40 ft|17|15|14|3|12|8|1|darkvision 60 ft., passive Perception 13
BEAST|Triceratops|Huge|13|95|40|50 ft|22|9|17|2|11|5|5|passive Perception 10
BEAST|Tyrannosaurus Rex|Huge|13|136|64|50 ft|25|10|19|2|12|9|8|passive Perception 14
BEAST|Vulture|Medium|10|5|0|10 ft., fly 50 ft|7|10|13|2|12|4|0|passive Perception 13
